Model, fold0, fold1, fold2, fold3, fold4
TLmutation,0.46530735654822886, 0.5175558347781235, 0.4974387037944216, 0.41267185801162776, 0.5318915545009268
EVmutation,0.3925618968504285, 0.35068249101033167, 0.42361819827827457, 0.2656203421156195, 0.43159932966736825
Envision,0.4368637757954124, 0.3983935033789954, 0.42624511065195636, 0.2672600770727915, 0.475464704970476
SNAP2,-0.3808019730935151, -0.29328151745988845, -0.3618189305107049, -0.21111289865246857, -0.4074931559673346
DeepSequence,0.40353936780394317, 0.32714476950826205, 0.42688862032669295, 0.21715782702329792, 0.426143970461816
